Akun,Tweet,Lokasi,Label;;;
"https://twitter.com/anteraja_id,""@wwcd4x Hi Kak, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI"",positif";;;
"https://twitter.com/anteraja_id,""@flabbergst Hi Kak Thomas, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk move DM ke akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI"",";;;
https://twitter.com/wwcd4x,Kocak luu @anteraja_id udah bener di jogja tinggal kirim ke hub yg deket malah meroket keluar lagi. Gilaa lu https://t.co/uNsfprJuoK,;;;
"https://twitter.com/TriIndah140699,""@anteraja_id Dear @Anteraja ";;;
Definisi #BaiknyaRamadan versi aku adalah Ketika ibadah makin taat, iman makin meningkat, melakukan hal-hal yang penuh manfaat, dan selalu menabur kebaikan kepada masyarakat. Supaya bahagia dunia akhirat ✨ ;;;
"#PastiLebihBaik"",";;;
https://twitter.com/kkkhlz,@anteraja_id @AnterajaCare Mana?? Janji2 aja diusut tapi ga ada kepastian @anteraja_id @AnterajaCare,;;;
https://twitter.com/flabbergst,woi paket gue mana ya masa kalah cepet ni sampenya sama barang yg beli dari luar negeri @anteraja_id,;;;
"https://twitter.com/anteraja_id,""@AgusWaliyul Hi Kak Agus, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk move DM ke akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI"",";;;
"https://twitter.com/anteraja_id,""@AgusWaliyul Hi Kak Agus, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI"",";;;
https://twitter.com/fansnyashani,@anteraja_id @C_IndahJKT48 Dear Admin Anteraja https://t.co/VCqKR1uyfu,;;;
https://twitter.com/AgusWaliyul,@anteraja_id 10006938676847 next day kenapa malah lelet,;;;
https://twitter.com/AgusWaliyul,@anteraja_id 10006938676847 next day kenapa malah lelet,;;;
https://twitter.com/AgusWaliyul,@anteraja_id 10006938676847 next day kenapa malah lelet,;;;
https://twitter.com/AgusWaliyul,@anteraja_id 10006938676847 next day kenapa malah lelet,;;;
https://twitter.com/AgusWaliyul,@anteraja_id 10006938676847 next day kenapa malah lelet,;;;
https://twitter.com/AgusWaliyul,@anteraja_id 10006938676847 next day kenapa malah lelet @anteraja_id,;;;
"https://twitter.com/Widya_0996,""@anteraja_id BAIKNYA Ramadan ";;;
#PastiBagiHadiah ;;;
#BaiknyaRamadan;;;
@azanyanasti ;;;
@dewalova_ieiend ;;;
"@esaspears_"",";;;
https://twitter.com/ancak666,@anteraja_id #PastiLebihBaik,;;;
"https://twitter.com/ancak666,""@anteraja_id Definisi #BaiknyaRamadan versi wota adalah ketika menahan diri untuk tidak ikut dari segala tubiran di twitter. Ketika twit tubiran lewat di timeline, sebaiknya lanjut scroll agar tidak terpancing sehingga bisa mengurangi pahala puasa yang sedang dikerjakan.";;;
"#PastiBagiHadiah"",";;;
https://twitter.com/fentyelianury06,Kapan paket sy di Anter nih min @anteraja_id 10006939398892 tinggal di bawa kurir aja ko lama bgt dr kmrn. Padahal barang cod loh ini,;;;
