Filter By Length,Label
"baiknyaramadan,jika,kita,saling,bagi,untuk,baik,sama,sama,saling,lomba,baik,erat,silaturahmi,jaga,rukun,antar,sama,baik,keluarga,maupun,orang,sekitar,pastilebihbaik,jadi,diri,baik,dari,hari,kemarin",netral
cepet,negatif
"risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"thomas,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"kocak,udah,bener,jogja,tinggal,kirim,deket,malah,roket,keluar,lagi,gilaa",negatif
"dear,definisi,baiknyaramadan,versi,adalah,ketika,ibadah,makin,taat,iman,makin,tingkat,laku,halhal,yang,penuh,manfaat,selalu,tabur,baik,kepada,masyarakat,supaya,bahagia,dunia,akhirat,pastilebihbaik",netral
"mana,janji,usut,tapi,pasti",negatif
"paket,mana,masa,kalah,cepet,sampenya,sama,barang,beli,dari,luar,negeri",negatif
"agus,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"agus,risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"dear,admin,anteraja",netral
"next,kenapa,malah,lelet",negatif
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
pastilebihbaik,netral
"definisi,baiknyaramadan,versi,wota,adalah,ketika,tahan,diri,untuk,tidak,ikut,dari,segala,tubir,twitter,ketika,twit,tubir,lewat,timeline,baik,lanjut,scroll,agar,tidak,pancing,sehingga,bisa,kurang,pahala,puasa,yang,sedang,kerja,pastibagihadiah",netral
"kapan,paket,anter,tinggal,bawa,kurir,lama,kmrn,padahal,barang",negatif
"lelet,kurir,rekomendasi,besok,buang,dari,list,kurir,rekomendasi,tokped,tiap,dapet,rekomendasi,kurir,anteraja,mesti,masalah,dari,hari,rabu,status,tuju,terus,opoo",negatif
"risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"gaberessss,ekspedisi,satu",negatif
"baik,ramadan,ikut,juga,pastibagihadiah,baiknyaramadan",netral
,negatif
"rantam,kita,jdekhdjdj,besok,pisah,pake,apaaaaa,huhuhu,miiiin,cepat,dulu,pengirimannyaaa",negatif
"gimana,kurir,salah,kirim,masak,jauh,banget,kirim,dari,nomor,nomor",negatif
"anteraja,kenapa,lelet,kali,nang",negatif
"sudah,saya,akun",negatif
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"tolong,fitur,sameday,hapus,pake,sameday,prnh,tepat,waktu,kurir,suka,bikin,update,palsu,untuk,mendelay,pickup,paket",negatif
"sudah,saya",negatif
"giveaway,mulu,paket,ndak,diurusin,udah,dari,dulu,alas,belum,siap,toko,tutup,nomor,tidak,aktif,asli,basi,banget,sameday,nyampe,kapan",negatif
"gabisa,gabisa",negatif
"maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"paket,mana,woiudah,hari,jakut,mulukasih,kenapa,telat,kasih,jawab,yang,jelas,bukan,solusi,investigasi,blamuak,banget,sumpah,guna",negatif
"halo,paket,saya,resi,masih,nyangkut,mana,terang,delivery,tunda,karena,masalah,operasional,padahal,same",negatif
"definisi,baiknyaramadan,versi,adalah,ketika,tingkat,dalam,ibadah,buat,baik,kepada,sama,baik,cara,kualitas,maupun,kuantitas,pastilebihbaik",netral
"halo,paket,saya,resi,masih,nyangkut,mana,terang,delivery,tunda,karena,masalah,operasional,padahal,same,makan,kalo,basi",negatif
sabarrr,netral
"halo,paket,saya,resi,masih,nyangkut,mana,terang,delivery,tunda,karena,masalah,operasional,padahal,same",negatif
"risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"definisi,baiknyaramadan,versi,adalah,ketika,banyak,orang,yang,rela,tidur,buat,bangunin,orang,lain,sahur,keliling,komplek,bener,bener,bulan,ramadan,indah,pastilebihbaik",netral
"hepizen,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"baiknyaramadan,banyak,ibadah,untuk,dapat,pahala,yang,lebih,limpah,harap,ridha,dari,allah,dapat,berkah,yang,lebih,manfaat,untuk,hidup",netral
"ngapa,sampe,nyasar,jakut,tolol,idiot",negatif
"coba,sambungin,kalimat,gambar,jangan,lupa,pakein,hashtag,baiknyaramadan,hadiah,spesial,dari,anteraja,buat,reply,yang,paling,tarik,tunggu,yaaa,karena,pastilebihbaik",netral
"sama,banget,kayak,paket,guedijakut,hari,punya,bensin,atau,anter,atau,hilang,dicancel,kasi,jualanpadahal,ulah,antar",negatif
"hallo,kamu,waktu,pickup,harus,tapi,sampai,belum,pickup,saya,coba,chat,tidak,respon,anteraja,masih,atau,hanya,nama",negatif
"jawab,jawab,tanya,kerja,bener,jawab,mulu,kalo,komplain",negatif
"definisi,baiknyaramadan,versi,adalah,ketika,semua,orang,beli,takjil,bukan,untuk,makan,sendiri,tapi,untuk,antar,mesjid,buat,orangorang,buka,puasa,sama",netral
"baiknyaramadan,ketika,semua,orang,lomba,lomba,laku,baik,krna,mereka,sadar,bulan,penuh,berkah,pahala,lipat,ganda,contoh,bnyak,bagi,takjil,baik,acara,masjid,maupun,jalan,raya,baik,orang,muda,lomba,dapat,berkah",netral
"ketika,banyak,bagi,untuk,buka,puasa,bulan,ramadhan,lihat,senyum,orang,hati,rasa,senang,saat,lihat,mereka,senyum,sampe,tetes,mata,lalu,ucap,terimakasih,baiknyaramadan,pastilebihbaik",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
,negatif
"yudi,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"halo,paket,saya,sampe,sekarang,belum,pickup,gimana,solusi,kasi,customer,saya",negatif
"esok,kapan,dari,kaga,gerak,gerak,molor,kurir,padahal,akhir,masa,kudu,jemput,kantor,lagi,lagi,pake,anteraja",negatif
"jadi,siapa,yang,menang",netral
"arti,paket,saya,paling,lambat,besok,sudah,harus,tiba,airport,tuju,langsung,kirim,estimasi,tiba,paling,lambat,hari,minggu,soal,sedang,mimin,hari,minggu,libur,sampe,besok,siang,sore,status,atau,barang,belum,terima,arti,jadi,masalah,lagi",negatif
"lama,banget,ngirimnya,bang",negatif
"hepizen,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"cakra,risau,pada,hari,minggu,proses,kirim,layan,apabila,kendala,move,akun,baru,kami,privasi,jaga,trims",netral
"acha,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"kalian,paling,buruk,antara,semua,ekspedisi,barang,saya,udah,hari,pick,juga,maksud,hari,bohongin,saya,kata,tunggu,nanti,juga,datang,bilang,hari,terus,mana,tanggung,jawab,sampe,hari,hari,juga,datang",negatif
"hari,minggu,antar,paket",netral
"jadi,lagi,tolong,paket,saya,segera,kirim,ngapain,nangkring,jakut",negatif
gemash,negatif
"dulu,suka,pake,anteraja,kirim,cepet,skrng,sangat,kecewa,sampe,pagi,status,masih,begini,ekspedisi,lain,kirim,hari,sama,sampe,dari,lama",negatif
"chat,laku,investigasi,tapi,tetap,lama,banget,investigasi,sampe,pagi,posisi,masih,stuck,jakut,sangat,kecewa",negatif
"bagas,risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"suci,risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"sudah,dari,malan,balas",negatif
"reza,risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"rahma,risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"lulu,risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"celine,risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"jeje,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"laras,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"entaraja,cepet,pick,paket,resi,puasa,bikin,gondok,hari,pick,lelet",negatif
sudah,netral
"beli,barang,maret,ekspedisi,pake,sampe,sekarang,nyampe,ngajuin,refund,ngirim,bukti,invoice,maret,kata,proses,paling,lama,hari,tunggu,gataunya,maret,zonkkk,ampasssssss",negatif
"paket,kemanain,muter,doang",negatif
"sortir,gudang,sunternya,manual,sampe,ngestuck,minggu",negatif
"jess,cerita,order,bday,tshirt,tanggal,tanggal,paket,datang,buka,motor,untung,bisa,komplain,merc,duit,dibalikin,bisa,order,ulang,shirt,salah,tapi,yang,penting,masalah,selesai",negatif
"belanja,online,kirim,pake,dari,belum,sampe,padahal,tangerang,selatan,doang,meanwhile,paket,crossborder,kirim,hari,sama,udah,sampe,lucu,kamu",negatif
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"kenapa,anteraja,tidak,kirim,barang,langsung,rumah,konsumen",netral
"harus,nunggu,sampai,lebarankh",negatif
"belumdan,udah,dibatalin,platform,commercenya",negatif
"gimana,paket,customer,saya,hilang,cecer,saya,juga,yang,rugi,sini,udah,barang,ilang,cust,uang,kembali,saya,ngga,dapet,uang,pula,yang,paling,rugi,jelas,saya",negatif
"baik,ramadan,ikut,sobat,pastibagihadiah,baiknyaramadan",netral
"baik,ramadan,ikut,pastibagihadiah,baiknyaramadan",netral
"wkwk,bangsatria",netral
"halo,gimana,casenya,pilih,kirim,sameday,nyata,samedaynya,anteraja,fikir,grabgojek,bisa,paket,belum,terima,udah,selesai,ckckckc,janganpilihanteraja,boikotanteraja",negatif
"makasih,makin,cinta,dehh",positif
,netral
"bang,satria,pacar,akuu",netral
,netral
"adel,donk",netral
subhanallah,netral
,negatif
