Tweet,Clean Tweet,Lower Tweet,Tokenize,Stemming,Stopwords,Filter By Length,Label,Kata,Hitung
"@anteraja_id #BaiknyaRamadan itu jika kita saling berbagi untuk kebaikan bersama, bersama saling berlomba dlm kebaikan. Mempererat silaturahmi, menjaga kerukunan antar sesama baik dgn keluarga maupun orang sekitar. #PastiLebihBaik dgn menjadikan diri lbh baik dari hari kemarin🙏",BaiknyaRamadan itu jika kita saling berbagi untuk kebaikan bersama bersama saling berlomba dlm kebaikan Mempererat silaturahmi menjaga kerukunan antar sesama baik dgn keluarga maupun orang sekitar PastiLebihBaik dgn menjadikan diri lbh baik dari hari kemarin,baiknyaramadan itu jika kita saling berbagi untuk kebaikan bersama bersama saling berlomba dlm kebaikan mempererat silaturahmi menjaga kerukunan antar sesama baik dgn keluarga maupun orang sekitar pastilebihbaik dgn menjadikan diri lbh baik dari hari kemarin,"['baiknyaramadan', 'itu', 'jika', 'kita', 'saling', 'berbagi', 'untuk', 'kebaikan', 'bersama', 'bersama', 'saling', 'berlomba', 'dlm', 'kebaikan', 'mempererat', 'silaturahmi', 'menjaga', 'kerukunan', 'antar', 'sesama', 'baik', 'dgn', 'keluarga', 'maupun', 'orang', 'sekitar', 'pastilebihbaik', 'dgn', 'menjadikan', 'diri', 'lbh', 'baik', 'dari', 'hari', 'kemarin']","baiknyaramadan,itu,jika,kita,saling,bagi,untuk,baik,sama,sama,saling,lomba,dlm,baik,erat,silaturahmi,jaga,rukun,antar,sama,baik,dgn,keluarga,maupun,orang,sekitar,pastilebihbaik,dgn,jadi,diri,lbh,baik,dari,hari,kemarin","baiknyaramadan,lomba,dlm,erat,silaturahmi,jaga,rukun,dgn,keluarga,orang,pastilebihbaik,dgn,lbh,kemarin","baiknyaramadan,lomba,erat,silaturahmi,jaga,rukun,keluarga,orang,pastilebihbaik,kemarin",netral,"['baiknyaramadan', 'lomba', 'erat', 'silaturahmi', 'jaga', 'rukun', 'keluarga', 'orang', 'pastilebihbaik', 'kemarin']","{'baiknyaramadan': 1, 'lomba': 1, 'erat': 1, 'silaturahmi': 1, 'jaga': 1, 'rukun': 1, 'keluarga': 1, 'orang': 1, 'pastilebihbaik': 1, 'kemarin': 1}"
@anteraja_id @AnterajaCare Cek dm cepet,Cek dm cepet,cek dm cepet,"['cek', 'dm', 'cepet']","cek,dm,cepet","cek,dm,cepet",cepet,negatif,['cepet'],{'cepet': 1}
"@wwcd4x Hi Kak, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk bisikin no resi kamu ke DM akun baru kami di spy privasimu terjaga Trims PI,hi kak jgn risau ya kendala paket kamu akan segera minaja bantu yuk bisikin no resi kamu ke dm akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'bisikin', 'no', 'resi', 'kamu', 'ke', 'dm', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,bisikin,no,resi,kamu,ke,dm,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,jgn,risau,ya,kendala,paket,maja,bantu,yuk,bisikin,no,resi,dm,akun,spy,privasi,jaga,trims,pi","risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral,"['risau', 'kendala', 'paket', 'maja', 'bantu', 'bisikin', 'resi', 'akun', 'privasi', 'jaga', 'trims']","{'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'bisikin': 1, 'resi': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
"@flabbergst Hi Kak Thomas, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk move DM ke akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak Thomas jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk move DM ke akun baru kami di spy privasimu terjaga Trims PI,hi kak thomas jgn risau ya kendala paket kamu akan segera minaja bantu yuk move dm ke akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'thomas', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'move', 'dm', 'ke', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,thomas,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,move,dm,ke,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,thomas,jgn,risau,ya,kendala,paket,maja,bantu,yuk,move,dm,akun,spy,privasi,jaga,trims,pi","thomas,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral,"['thomas', 'risau', 'kendala', 'paket', 'maja', 'bantu', 'move', 'akun', 'privasi', 'jaga', 'trims']","{'thomas': 1, 'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'move': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
Kocak luu @anteraja_id udah bener di jogja tinggal kirim ke hub yg deket malah meroket keluar lagi. Gilaa lu https://t.co/uNsfprJuoK,Kocak luu udah bener di jogja tinggal kirim ke hub yg deket malah meroket keluar lagi Gilaa lu,kocak luu udah bener di jogja tinggal kirim ke hub yg deket malah meroket keluar lagi gilaa lu,"['kocak', 'luu', 'udah', 'bener', 'di', 'jogja', 'tinggal', 'kirim', 'ke', 'hub', 'yg', 'deket', 'malah', 'meroket', 'keluar', 'lagi', 'gilaa', 'lu']","kocak,luu,udah,bener,di,jogja,tinggal,kirim,ke,hub,yg,deket,malah,roket,keluar,lagi,gilaa,lu","kocak,luu,udah,bener,jogja,tinggal,kirim,hub,yg,deket,roket,gilaa,lu","kocak,udah,bener,jogja,tinggal,kirim,deket,roket,gilaa",negatif,"['kocak', 'udah', 'bener', 'jogja', 'tinggal', 'kirim', 'deket', 'roket', 'gilaa']","{'kocak': 1, 'udah': 1, 'bener': 1, 'jogja': 1, 'tinggal': 1, 'kirim': 1, 'deket': 1, 'roket': 1, 'gilaa': 1}"
"@anteraja_id Dear @Anteraja 
Definisi #BaiknyaRamadan versi aku adalah Ketika ibadah makin taat, iman makin meningkat, melakukan hal-hal yang penuh manfaat, dan selalu menabur kebaikan kepada masyarakat. Supaya bahagia dunia akhirat ✨ 
#PastiLebihBaik",Dear Definisi BaiknyaRamadan versi aku adalah Ketika ibadah makin taat iman makin meningkat melakukan halhal yang penuh manfaat dan selalu menabur kebaikan kepada masyarakat Supaya bahagia dunia akhirat PastiLebihBaik,dear definisi baiknyaramadan versi aku adalah ketika ibadah makin taat iman makin meningkat melakukan halhal yang penuh manfaat dan selalu menabur kebaikan kepada masyarakat supaya bahagia dunia akhirat pastilebihbaik,"['dear', 'definisi', 'baiknyaramadan', 'versi', 'aku', 'adalah', 'ketika', 'ibadah', 'makin', 'taat', 'iman', 'makin', 'meningkat', 'melakukan', 'halhal', 'yang', 'penuh', 'manfaat', 'dan', 'selalu', 'menabur', 'kebaikan', 'kepada', 'masyarakat', 'supaya', 'bahagia', 'dunia', 'akhirat', 'pastilebihbaik']","dear,definisi,baiknyaramadan,versi,aku,adalah,ketika,ibadah,makin,taat,iman,makin,tingkat,laku,halhal,yang,penuh,manfaat,dan,selalu,tabur,baik,kepada,masyarakat,supaya,bahagia,dunia,akhirat,pastilebihbaik","dear,definisi,baiknyaramadan,versi,ibadah,taat,iman,tingkat,laku,halhal,penuh,manfaat,tabur,masyarakat,bahagia,dunia,akhirat,pastilebihbaik","dear,definisi,baiknyaramadan,versi,ibadah,taat,iman,tingkat,laku,halhal,penuh,manfaat,tabur,masyarakat,bahagia,dunia,akhirat,pastilebihbaik",netral,"['dear', 'definisi', 'baiknyaramadan', 'versi', 'ibadah', 'taat', 'iman', 'tingkat', 'laku', 'halhal', 'penuh', 'manfaat', 'tabur', 'masyarakat', 'bahagia', 'dunia', 'akhirat', 'pastilebihbaik']","{'dear': 1, 'definisi': 1, 'baiknyaramadan': 1, 'versi': 1, 'ibadah': 1, 'taat': 1, 'iman': 1, 'tingkat': 1, 'laku': 1, 'halhal': 1, 'penuh': 1, 'manfaat': 1, 'tabur': 1, 'masyarakat': 1, 'bahagia': 1, 'dunia': 1, 'akhirat': 1, 'pastilebihbaik': 1}"
@anteraja_id @AnterajaCare Mana?? Janji2 aja diusut tapi ga ada kepastian @anteraja_id @AnterajaCare,Mana Janji aja diusut tapi ga ada kepastian,mana janji aja diusut tapi ga ada kepastian,"['mana', 'janji', 'aja', 'diusut', 'tapi', 'ga', 'ada', 'kepastian']","mana,janji,aja,usut,tapi,ga,ada,pasti","janji,aja,usut,ga","janji,usut",negatif,"['janji', 'usut']","{'janji': 1, 'usut': 1}"
woi paket gue mana ya masa kalah cepet ni sampenya sama barang yg beli dari luar negeri @anteraja_id,woi paket gue mana ya masa kalah cepet ni sampenya sama barang yg beli dari luar negeri,woi paket gue mana ya masa kalah cepet ni sampenya sama barang yg beli dari luar negeri,"['woi', 'paket', 'gue', 'mana', 'ya', 'masa', 'kalah', 'cepet', 'ni', 'sampenya', 'sama', 'barang', 'yg', 'beli', 'dari', 'luar', 'negeri']","woi,paket,gue,mana,ya,masa,kalah,cepet,ni,sampenya,sama,barang,yg,beli,dari,luar,negeri","woi,paket,gue,ya,kalah,cepet,ni,sampenya,barang,yg,beli,negeri","paket,kalah,cepet,sampenya,barang,beli,negeri",negatif,"['paket', 'kalah', 'cepet', 'sampenya', 'barang', 'beli', 'negeri']","{'paket': 1, 'kalah': 1, 'cepet': 1, 'sampenya': 1, 'barang': 1, 'beli': 1, 'negeri': 1}"
"@AgusWaliyul Hi Kak Agus, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk move DM ke akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak Agus jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk move DM ke akun baru kami di spy privasimu terjaga Trims PI,hi kak agus jgn risau ya kendala paket kamu akan segera minaja bantu yuk move dm ke akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'agus', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'move', 'dm', 'ke', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,agus,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,move,dm,ke,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,agus,jgn,risau,ya,kendala,paket,maja,bantu,yuk,move,dm,akun,spy,privasi,jaga,trims,pi","agus,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral,"['agus', 'risau', 'kendala', 'paket', 'maja', 'bantu', 'move', 'akun', 'privasi', 'jaga', 'trims']","{'agus': 1, 'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'move': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
"@AgusWaliyul Hi Kak Agus, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak Agus jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk bisikin no resi kamu ke DM akun baru kami di spy privasimu terjaga Trims PI,hi kak agus jgn risau ya kendala paket kamu akan segera minaja bantu yuk bisikin no resi kamu ke dm akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'agus', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'bisikin', 'no', 'resi', 'kamu', 'ke', 'dm', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,agus,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,bisikin,no,resi,kamu,ke,dm,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,agus,jgn,risau,ya,kendala,paket,maja,bantu,yuk,bisikin,no,resi,dm,akun,spy,privasi,jaga,trims,pi","agus,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral,"['agus', 'risau', 'kendala', 'paket', 'maja', 'bantu', 'bisikin', 'resi', 'akun', 'privasi', 'jaga', 'trims']","{'agus': 1, 'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'bisikin': 1, 'resi': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
