Filter By Length,Label
"baiknyaramadan,lomba,erat,silaturahmi,jaga,rukun,keluarga,orang,pastilebihbaik,kemarin",netral
cepet,negatif
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"thomas,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"kocak,udah,bener,jogja,tinggal,kirim,deket,roket,gilaa",negatif
"dear,definisi,baiknyaramadan,versi,ibadah,taat,iman,tingkat,laku,halhal,penuh,manfaat,tabur,masyarakat,bahagia,dunia,akhirat,pastilebihbaik",netral
"janji,usut",negatif
"paket,kalah,cepet,sampenya,barang,beli,negeri",negatif
"agus,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"agus,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"dear,admin,anteraja",netral
"next,lelet",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
pastilebihbaik,netral
"definisi,baiknyaramadan,versi,wota,tahan,tubir,twitter,twit,tubir,timeline,scroll,pancing,pahala,puasa,kerja,pastibagihadiah",netral
"paket,anter,tinggal,bawa,kurir,kmrn,barang",negatif
"lelet,kurir,rekomendasi,besok,buang,list,kurir,rekomendasi,tokped,dapet,rekomendasi,kurir,anteraja,mesti,rabu,status,tuju,opoo",negatif
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"gaberessss,ekspedisi",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"rantam,jdekhdjdj,besok,pisah,pake,apaaaaa,huhuhu,miiiin,cepat,pengirimannyaaa",negatif
"gimana,kurir,salah,kirim,masak,banget,kirim,nomor,nomor",negatif
"anteraja,lelet,kali,nang",negatif
akun,negatif
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"tolong,fitur,sameday,hapus,pake,sameday,prnh,kurir,suka,bikin,update,palsu,mendelay,pickup,paket",negatif
"giveaway,mulu,paket,ndak,diurusin,udah,alas,toko,tutup,nomor,aktif,asli,basi,banget,sameday,nyampe",negatif
"gabisa,gabisa",negatif
"maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"paket,woiudah,jakut,mulukasih,telat,kasih,solusi,investigasi,blamuak,banget,sumpah",negatif
"halo,paket,resi,nyangkut,terang,delivery,tunda,operasional,same",negatif
"definisi,baiknyaramadan,versi,tingkat,ibadah,kualitas,kuantitas,pastilebihbaik",netral
"halo,paket,resi,nyangkut,terang,delivery,tunda,operasional,same,makan,kalo,basi",negatif
sabarrr,netral
